number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
18,0.539180352333109,2025-10-11 22:39:05.548549,2025-10-11 22:39:06.728976,0 days 00:00:01.180427,0.5149853272206026,2,0.6933284762724402,3.568052108655173,1.9964732415940314,0.04978892375353679,10,95,49,COMPLETE
19,0.5433587100334505,2025-10-11 22:39:06.729973,2025-10-11 22:39:07.704263,0 days 00:00:00.974290,0.586720193068739,1,0.8193450273360277,4.990995209199945,3.316591095862804,0.03136662954873905,10,86,225,COMPLETE
20,0.5383777983850069,2025-10-11 22:39:07.706256,2025-10-11 22:39:09.364339,0 days 00:00:01.658083,0.7045005355351618,2,0.5075106058128437,4.264468552834388,0.5854117658759614,0.015623378564858221,11,69,165,COMPLETE
21,0.5374261446998462,2025-10-11 22:39:09.366333,2025-10-11 22:39:10.930291,0 days 00:00:01.563958,0.6190356243875859,4,0.9954310747628445,3.1512309318391454,0.06275099683960154,0.010844666521028837,7,54,116,COMPLETE
22,0.5431132886748054,2025-10-11 22:39:10.931290,2025-10-11 22:39:12.210428,0 days 00:00:01.279138,0.5755451104891137,1,0.9424770670474035,2.3156547896949764,0.5702022558411746,0.0064325685988784066,5,30,115,COMPLETE
23,0.5431489202715575,2025-10-11 22:39:12.211425,2025-10-11 22:39:14.036631,0 days 00:00:01.825206,0.6432685667536041,3,0.9332923372138202,2.702576679126923,0.5365790663871408,0.009561436994537938,9,61,67,COMPLETE
24,0.5470882607362026,2025-10-11 22:39:14.038626,2025-10-11 22:39:15.578005,0 days 00:00:01.539379,0.5615819297733018,6,0.8707932318534808,1.9496281916023785,1.5309417322268035,0.012945990608093564,7,47,112,COMPLETE
25,0.5425079699462337,2025-10-11 22:39:15.579002,2025-10-11 22:39:16.957316,0 days 00:00:01.378314,0.5005729296229124,2,0.9526471680301735,3.3754779156629833,2.149694093246331,0.017399526720281687,11,75,150,COMPLETE
26,0.5404494879950348,2025-10-11 22:39:16.959313,2025-10-11 22:39:18.381195,0 days 00:00:01.421882,0.7787588257864038,1,0.8474126189911603,4.146258077166681,2.8529985325150196,0.013347888832940288,5,84,183,COMPLETE
27,0.5448389456110537,2025-10-11 22:39:18.382194,2025-10-11 22:39:19.339053,0 days 00:00:00.956859,0.6193443803180418,4,0.7743141298314716,3.6899389021356237,0.32693410995719113,0.03284965577398896,4,53,64,COMPLETE
28,0.5509003062202313,2025-10-11 22:39:19.341047,2025-10-11 22:39:20.660946,0 days 00:00:01.319899,0.5661866672509882,7,0.9158840279963768,3.1016126985920174,1.010588913085018,0.009194395733619439,8,70,142,COMPLETE
29,0.5475369179083847,2025-10-11 22:39:20.663937,2025-10-11 22:39:21.688848,0 days 00:00:01.024911,0.5558876569299458,2,0.7092955813198749,0.0517421948454837,1.0406093407361983,0.006556596319571885,8,84,26,COMPLETE
30,0.5386092804078949,2025-10-11 22:39:21.689846,2025-10-11 22:39:23.163255,0 days 00:00:01.473409,0.9101320728802786,2,0.7961174126201915,1.5614294039307972,1.623320981291812,0.027451307706374186,12,99,210,COMPLETE
31,0.543350071512902,2025-10-11 22:39:23.165250,2025-10-11 22:39:24.773838,0 days 00:00:01.608588,0.5895454919834358,7,0.9207486002448386,3.1073711687520014,0.23379924965386178,0.00911804370559279,9,70,105,COMPLETE
32,0.5428445045887226,2025-10-11 22:39:24.774837,2025-10-11 22:39:26.543105,0 days 00:00:01.768268,0.6508020457925395,7,0.9610953272913985,2.8761072160523526,0.8475801640897369,0.011581991523698274,7,78,142,COMPLETE
