number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
13,0.45481852315394244,2025-10-21 18:13:35.393142,2025-10-21 18:13:39.114932,0 days 00:00:03.721790,0.6452544947330737,5,0.82889471925386,3.4411475597509966,1.6940015241595412,0.008435464770345954,6,100,119,COMPLETE
14,0.46533166458072583,2025-10-21 18:13:39.115909,2025-10-21 18:13:46.100240,0 days 00:00:06.984331,0.7449960030445711,6,0.9257297007260239,2.3677434672762923,0.24921794004965958,0.005964389109374648,7,100,61,COMPLETE
15,0.4618272841051314,2025-10-21 18:13:46.102234,2025-10-21 18:13:54.404994,0 days 00:00:08.302760,0.6090453979378434,6,0.724274028445038,2.431822991649814,1.93575613995097,0.008880510689608968,5,82,116,COMPLETE
16,0.46307884856070086,2025-10-21 18:13:54.405991,2025-10-21 18:13:57.779803,0 days 00:00:03.373812,0.6812128101868492,5,0.8607349956827237,3.634823758940222,0.7983564512493829,0.03197594569573538,5,30,142,COMPLETE
17,0.4533166458072591,2025-10-21 18:13:57.780800,2025-10-21 18:14:08.161968,0 days 00:00:10.381168,0.8214237152952777,6,0.763464710575368,2.868447337527959,1.7377140490105119,0.014697399156152325,12,10,204,COMPLETE
18,0.46257822277847305,2025-10-21 18:14:08.162970,2025-10-21 18:14:13.551560,0 days 00:00:05.388590,0.6174630609249688,7,0.9776902504700683,3.8643469481005344,0.661361593701848,0.00983117184867704,4,39,65,COMPLETE
19,0.46057571964956195,2025-10-21 18:14:13.552558,2025-10-21 18:14:18.351724,0 days 00:00:04.799166,0.5025993635935506,4,0.8091235859889959,2.090770411410371,1.372587886301728,0.0076149678524812464,7,87,188,COMPLETE
20,0.458322903629537,2025-10-21 18:14:18.355719,2025-10-21 18:14:23.354351,0 days 00:00:04.998632,0.7045005355351618,5,0.911664511371185,0.058104808137766195,4.969213925248543,0.011872295346927774,8,71,118,COMPLETE
21,0.46307884856070086,2025-10-21 18:14:23.356347,2025-10-21 18:14:31.423778,0 days 00:00:08.067431,0.7655861314080078,6,0.9384377848043237,2.2870866751726346,0.032381847559256716,0.005244240799317199,7,100,54,COMPLETE
22,0.4673341677096371,2025-10-21 18:14:31.424775,2025-10-21 18:14:36.279795,0 days 00:00:04.855020,0.7216457929860804,6,0.9428449796088652,1.7806978913671232,0.4053963015700753,0.0062871904259288675,5,95,69,COMPLETE
23,0.4613266583229036,2025-10-21 18:14:36.280796,2025-10-21 18:14:41.788068,0 days 00:00:05.507272,0.5590467453889153,7,0.8625840057728943,1.303173431867731,0.5605627514627085,0.006547300883499933,5,91,84,COMPLETE
24,0.46282853566958704,2025-10-21 18:14:41.790065,2025-10-21 18:14:44.420033,0 days 00:00:02.629968,0.7918337772618861,4,0.7173977827786409,1.8642058892004258,2.1182558519228913,0.010039127114212437,4,72,16,COMPLETE
25,0.46107634543178977,2025-10-21 18:14:44.421029,2025-10-21 18:14:48.585896,0 days 00:00:04.164867,0.9140060521185011,6,0.950926545993818,4.145214364699973,1.1098344262522004,0.007830247302910837,4,93,104,COMPLETE
26,0.4635794743429287,2025-10-21 18:14:48.587892,2025-10-21 18:14:53.186595,0 days 00:00:04.598703,0.7209261251268866,5,0.8295280424638418,3.4201104115741785,1.5458297276036739,0.006054395510964668,6,78,143,COMPLETE
27,0.4670838548185232,2025-10-21 18:14:53.187594,2025-10-21 18:14:56.116350,0 days 00:00:02.928756,0.6336002710177809,7,0.8852796370947587,2.730744912177171,0.4764859866272208,0.011619264197427936,9,50,42,COMPLETE
28,0.4645807259073842,2025-10-21 18:14:56.118343,2025-10-21 18:14:59.532190,0 days 00:00:03.413847,0.6323585999023397,6,0.872919364011323,2.81849904500939,0.4881244548287609,0.015165128291106658,11,54,43,COMPLETE
29,0.4608260325406759,2025-10-21 18:14:59.533188,2025-10-21 18:15:03.106204,0 days 00:00:03.573016,0.5713530326303279,7,0.7940835281365662,0.9522642065958568,3.00120582375693,0.01203507017515525,10,65,34,COMPLETE
30,0.45957446808510644,2025-10-21 18:15:03.107201,2025-10-21 18:15:05.908710,0 days 00:00:02.801509,0.716730103127965,3,0.9597977223447892,1.8597517165631392,2.8290639813506258,0.01782330689711118,5,93,67,COMPLETE
31,0.4618272841051314,2025-10-21 18:15:05.909710,2025-10-21 18:15:10.925302,0 days 00:00:05.015592,0.5742092432363262,7,0.8958714157568614,3.2571156019352223,0.9712595590875983,0.011196410384357404,9,22,78,COMPLETE
32,0.4675844806007509,2025-10-21 18:15:10.926300,2025-10-21 18:15:13.112452,0 days 00:00:02.186152,0.6095521688236006,7,0.8434855000322388,3.9797390209119055,0.44041388235775975,0.01304722964345268,8,87,47,COMPLETE
33,0.4608260325406758,2025-10-21 18:15:13.113452,2025-10-21 18:15:15.496082,0 days 00:00:02.382630,0.6570368891246278,6,0.8399598407781647,4.063901650541632,0.015839316210725096,0.013727101109978025,9,87,22,COMPLETE
34,0.46157697121401753,2025-10-21 18:15:15.496082,2025-10-21 18:15:17.788950,0 days 00:00:02.292868,0.60197729417788,7,0.7374821279913888,2.748617540041194,0.3676089165282723,0.008884631668409774,10,80,49,COMPLETE
35,0.46107634543178977,2025-10-21 18:15:17.789948,2025-10-21 18:15:20.747068,0 days 00:00:02.957120,0.6678245216424936,6,0.6983206155641231,3.5824829803957265,0.7375586505349554,0.013168833250813637,11,49,31,COMPLETE
36,0.4570713391739674,2025-10-21 18:15:20.748038,2025-10-21 18:15:22.912279,0 days 00:00:02.164241,0.7028342040344115,1,0.8111691627386142,4.890317906015486,1.2508067498767355,0.02834765808820745,8,66,131,COMPLETE
37,0.46533166458072595,2025-10-21 18:15:22.913279,2025-10-21 18:15:24.780258,0 days 00:00:01.866979,0.6399081830761646,7,0.7621806761576289,2.619144652843376,0.4070669369020014,0.017399168474475566,7,94,102,COMPLETE
38,0.45782227784730917,2025-10-21 18:15:24.781255,2025-10-21 18:15:27.668536,0 days 00:00:02.887281,0.5919256725860034,5,0.8552774409384142,1.642668568354599,2.1462652540002445,0.00988644185020846,8,60,73,COMPLETE
39,0.4603254067584481,2025-10-21 18:15:27.669534,2025-10-21 18:15:32.390911,0 days 00:00:04.721377,0.6836809845529752,6,0.9253127122806729,4.368558971632529,3.4985771797817096,0.0067226743518263,9,87,53,COMPLETE
40,0.4593241551939925,2025-10-21 18:15:32.391910,2025-10-21 18:15:37.684758,0 days 00:00:05.292848,0.7666321564468256,2,0.9992041883649506,3.6321657120327178,0.8490698884830623,0.008081442555288261,10,96,250,COMPLETE
41,0.4538172715894868,2025-10-21 18:15:37.685757,2025-10-21 18:15:46.325686,0 days 00:00:08.639929,0.547264961563413,7,0.890584753761607,3.880568259193771,1.2055749788305852,0.01180760912154301,8,16,36,COMPLETE
42,0.4618272841051314,2025-10-21 18:15:46.327679,2025-10-21 18:15:54.311353,0 days 00:00:07.983674,0.6208298135877968,7,0.9067366414259883,4.177941877351183,1.0479859106851968,0.010793471994194618,9,29,87,COMPLETE
43,0.4615769712140175,2025-10-21 18:15:54.312322,2025-10-21 18:15:57.159286,0 days 00:00:02.846964,0.5321195352481216,7,0.884104166866408,4.6118938290882285,1.4614148235565505,0.01313541583770009,8,39,25,COMPLETE
44,0.46483103879849813,2025-10-21 18:15:57.161281,2025-10-21 18:16:01.029117,0 days 00:00:03.867836,0.5809135068909282,7,0.9697937132789195,3.174939406678173,0.5147915040121165,0.009355246834349892,6,76,174,COMPLETE
45,0.45782227784730906,2025-10-21 18:16:01.030115,2025-10-21 18:16:04.395119,0 days 00:00:03.365004,0.5308039318487017,6,0.7850407574208738,3.009763011743664,0.1315560549543227,0.016020942878963277,7,86,152,COMPLETE
46,0.44881101376720894,2025-10-21 18:16:04.396117,2025-10-21 18:16:08.020426,0 days 00:00:03.624309,0.5956485444057459,7,0.8429114448434458,3.3801375298619396,2.4871503958228383,0.005449337581194753,3,46,97,COMPLETE
47,0.460325406758448,2025-10-21 18:16:08.021422,2025-10-21 18:16:12.115479,0 days 00:00:04.094057,0.5572996030726738,6,0.9337284941775001,3.724452097261076,0.9122092007211464,0.007345036563314749,7,97,60,COMPLETE
48,0.4655819774718398,2025-10-21 18:16:12.118477,2025-10-21 18:16:16.407021,0 days 00:00:04.288544,0.649888012827355,5,0.9144659166062235,2.129873142778197,1.786976929665245,0.018552680313575775,6,90,45,COMPLETE
49,0.4660826032540676,2025-10-21 18:16:16.412989,2025-10-21 18:16:24.616057,0 days 00:00:08.203068,0.6838936904239781,7,0.8125030580997687,0.9980009470838074,0.2673830367297774,0.022642891785777993,9,12,109,COMPLETE
